ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,Latitude,Longitude,Location
9514903,HX170349,03/03/2014 12:25:00 AM,079XX S INGLESIDE AVE,0470,PUBLIC PEACE VIOLATION,RECKLESS CONDUCT,STREET,true,false,0624,006,8,44,24,1183906,1852333,2014,03/05/2014 12:39:37 AM,41.74998102466071,-87.60165766062711,"(41.74998102466071, -87.60165766062711)"
9514934,HX170338,03/03/2014 12:25:00 AM,073XX S SOUTH SHORE DR,0560,ASSAULT,SIMPLE,APARTMENT,false,false,0334,003,7,43,08A,1195334,1857264,2014,03/05/2014 12:39:37 AM,41.76323774716129,-87.55961875231725,"(41.76323774716129, -87.55961875231725)"
9514894,HX170340,03/03/2014 12:05:00 AM,001XX N KILBOURN AVE,0910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,false,false,1113,011,28,26,07,1146406,1900437,2014,03/07/2014 12:40:58 AM,41.882778435415425,-87.7378536885534,"(41.882778435415425, -87.7378536885534)"
9514892,HX170337,03/03/2014 12:04:00 AM,082XX S PEORIA ST,2027,NARCOTICS,POSS: CRACK,STREET,true,false,0613,006,21,71,18,1171778,1850404,2014,03/05/2014 12:39:37 AM,41.74496201396294,-87.64615619134985,"(41.74496201396294, -87.64615619134985)"
9514885,HX170333,03/03/2014 12:04:00 AM,035XX S STATE ST,2820,OTHER OFFENSE,TELEPHONE THREAT,RESIDENCE,false,false,0213,002,3,35,26,1176806,1881707,2014,03/05/2014 12:39:37 AM,41.83074895466005,-87.62679036310668,"(41.83074895466005, -87.62679036310668)"
9515269,HX170941,03/03/2014 12:04:00 AM,071XX S CARPENTER ST,1150,DECEPTIVE PRACTICE,CREDIT CARD FRAUD,RESIDENCE,false,false,0733,007,17,68,11,1170517,1857139,2014,03/05/2014 12:39:37 AM,41.76347127714129,-87.65058083800784,"(41.76347127714129, -87.65058083800784)"
9514905,HX170336,03/03/2014 12:02:00 AM,070XX W DIVERSEY AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,false,true,2512,025,36,18,08B,1128752,1917782,2014,03/05/2014 12:39:37 AM,41.930693306302686,-87.80228667717084,"(41.930693306302686, -87.80228667717084)"
9517704,HX173185,03/03/2014 12:01:00 AM,082XX S VERNON AVE,1150,DECEPTIVE PRACTICE,CREDIT CARD FRAUD,RESIDENCE,false,false,0631,006,6,44,11,1180714,1850628,2014,03/08/2014 12:40:21 AM,41.745376204992766,-87.6134067021692,"(41.745376204992766, -87.6134067021692)"
9517661,HX173025,03/03/2014 12:01:00 AM,053XX S MARYLAND AVE,0840,THEFT,FINANCIAL ID THEFT: OVER $300,RESIDENCE,false,false,0233,002,5,41,06,1182859,1869621,2014,03/08/2014 12:40:21 AM,41.797445303587374,-87.60495774316188,"(41.797445303587374, -87.60495774316188)"
9515739,HX171627,03/03/2014 12:01:00 AM,051XX S EMERALD AVE,1152,DECEPTIVE PRACTICE,ILLEGAL USE CASH CARD,RESIDENCE,false,false,0935,009,3,61,11,1172223,1870636,2014,03/06/2014 12:40:43 AM,41.800471254544334,-87.64393139424016,"(41.800471254544334, -87.64393139424016)"
9514889,HX170332,03/03/2014 12:01:00 AM,024XX W MADISON ST,1811,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,SIDEWALK,true,false,1222,012,2,28,18,1160357,1899988,2014,03/05/2014 12:39:37 AM,41.881269276113905,-87.68663738227967,"(41.881269276113905, -87.68663738227967)"
9518323,HX173802,03/03/2014 12:00:00 AM,017XX N LUNA AVE,1150,DECEPTIVE PRACTICE,CREDIT CARD FRAUD,OTHER,false,false,2532,025,37,25,11,1139097,1910854,2014,03/07/2014 12:40:58 AM,41.91149998876282,-87.76443931668908,"(41.91149998876282, -87.76443931668908)"
